Activity,Timestamp,Value
Weight Recorded,6/26 9:20AM,11.8 lbs
Weight Recorded,6/26 8:34AM,11.7 lbs
Weight Recorded,6/26 8:31AM,10.8 lbs
Weight Recorded,6/26 5:31AM,8.0 lbs
Weight Recorded,6/25 7:27PM,12.1 lbs
Weight Recorded,6/25 7:03PM,10.6 lbs
Weight Recorded,6/25 5:04AM,12.2 lbs
Weight Recorded,6/25 12:55AM,10.6 lbs
Weight Recorded,6/24 11:58PM,7.8 lbs
Weight Recorded,6/24 11:32PM,12.2 lbs
Weight Recorded,6/24 9:41PM,10.6 lbs
Weight Recorded,6/24 7:23PM,12.3 lbs
Weight Recorded,6/24 11:45AM,7.7 lbs
Weight Recorded,6/24 9:01AM,12.3 lbs
Weight Recorded,6/24 7:39AM,10.5 lbs
Weight Recorded,6/24 6:20AM,11.8 lbs
Weight Recorded,6/24 5:39AM,11.7 lbs
Weight Recorded,6/24 4:52AM,7.3 lbs
Weight Recorded,6/24 4:47AM,7.7 lbs
Weight Recorded,6/23 11:17PM,7.6 lbs
Weight Recorded,6/23 7:26PM,10.6 lbs
Weight Recorded,6/23 7:21PM,11.3 lbs
Weight Recorded,6/23 6:49PM,12.0 lbs
Weight Recorded,6/23 9:13AM,10.2 lbs
Weight Recorded,6/23 9:09AM,7.5 lbs
Weight Recorded,6/23 5:48AM,7.4 lbs
Weight Recorded,6/23 5:26AM,11.5 lbs
Weight Recorded,6/23 12:06AM,10.1 lbs
Weight Recorded,6/22 11:59PM,10.3 lbs
Weight Recorded,6/22 5:47PM,12.2 lbs
Weight Recorded,6/22 4:05PM,11.7 lbs
Weight Recorded,6/22 3:22PM,7.5 lbs
Weight Recorded,6/22 9:04AM,10.5 lbs
Weight Recorded,6/22 7:19AM,12.2 lbs
Weight Recorded,6/22 5:02AM,7.7 lbs
Weight Recorded,6/21 11:57PM,7.4 lbs
Weight Recorded,6/21 11:22PM,11.9 lbs
Weight Recorded,6/21 11:17PM,11.9 lbs
Weight Recorded,6/21 5:49PM,12.5 lbs
Weight Recorded,6/21 1:04PM,11.5 lbs
Weight Recorded,6/21 12:57PM,10.2 lbs
Weight Recorded,6/21 12:50PM,12.5 lbs
Weight Recorded,6/21 8:17AM,7.9 lbs
Weight Recorded,6/21 6:51AM,12.1 lbs
Weight Recorded,6/21 12:06AM,12.3 lbs
Weight Recorded,6/20 11:42PM,10.9 lbs
Weight Recorded,6/20 7:44PM,8.0 lbs
Weight Recorded,6/20 5:49PM,11.6 lbs
Weight Recorded,6/20 4:41PM,12.6 lbs
Weight Recorded,6/20 4:12PM,8.0 lbs
Weight Recorded,6/20 9:02AM,8.2 lbs
Weight Recorded,6/20 6:36AM,12.5 lbs
Weight Recorded,6/20 5:56AM,10.6 lbs
Weight Recorded,6/20 5:49AM,10.7 lbs
Weight Recorded,6/20 5:46AM,8.0 lbs
Weight Recorded,6/19 10:14PM,8.0 lbs
Weight Recorded,6/19 8:44PM,12.6 lbs
Weight Recorded,6/19 6:26PM,7.7 lbs
Weight Recorded,6/19 6:15PM,10.7 lbs
Weight Recorded,6/19 11:00AM,7.9 lbs
Weight Recorded,6/19 9:42AM,10.8 lbs
Weight Recorded,6/19 9:18AM,12.3 lbs
Weight Recorded,6/19 9:03AM,8.0 lbs
Weight Recorded,6/19 7:53AM,11.8 lbs
Weight Recorded,6/19 5:24AM,12.4 lbs
Weight Recorded,6/19 4:59AM,10.8 lbs
Weight Recorded,6/18 5:41PM,7.8 lbs
Weight Recorded,6/18 5:35PM,10.7 lbs
Weight Recorded,6/18 5:25PM,12.3 lbs
Weight Recorded,6/18 8:08AM,8.0 lbs
Weight Recorded,6/18 6:47AM,11.9 lbs
Weight Recorded,6/18 5:55AM,12.5 lbs
Weight Recorded,6/18 5:20AM,10.9 lbs
Weight Recorded,6/17 8:33PM,10.8 lbs
Weight Recorded,6/17 5:36PM,12.3 lbs
Weight Recorded,6/17 11:27AM,7.8 lbs
Weight Recorded,6/17 6:47AM,12.3 lbs
Weight Recorded,6/17 5:05AM,12.5 lbs
Weight Recorded,6/16 11:35PM,10.8 lbs
Weight Recorded,6/16 11:05PM,12.0 lbs
Weight Recorded,6/16 6:51PM,10.7 lbs
Weight Recorded,6/16 5:27PM,12.0 lbs
Weight Recorded,6/16 5:21PM,7.9 lbs
Weight Recorded,6/16 8:51AM,8.1 lbs
