Activity,Timestamp,Value
Weight Recorded,3/12 8:29AM,7.8 lbs
Weight Recorded,3/12 7:47AM,11.7 lbs
Weight Recorded,3/12 6:41AM,12.8 lbs
Weight Recorded,3/12 12:19AM,7.6 lbs
Weight Recorded,3/12 12:12AM,13.2 lbs
Weight Recorded,3/11 8:56PM,10.6 lbs
Weight Recorded,3/11 8:12PM,12.4 lbs
Weight Recorded,3/11 7:31PM,7.4 lbs
Weight Recorded,3/11 5:16PM,10.7 lbs
Weight Recorded,3/11 5:05PM,11.6 lbs
Weight Recorded,3/11 4:59PM,12.5 lbs
Weight Recorded,3/11 1:44PM,8.3 lbs
Weight Recorded,3/11 10:23AM,10.9 lbs
Weight Recorded,3/11 8:26AM,12.0 lbs
Weight Recorded,3/11 8:21AM,8.1 lbs
Weight Recorded,3/11 6:47AM,11.2 lbs
Weight Recorded,3/11 5:17AM,13.1 lbs
Weight Recorded,3/10 11:12PM,12.8 lbs
Weight Recorded,3/10 10:22PM,12.2 lbs
Weight Recorded,3/10 9:57PM,7.4 lbs
Weight Recorded,3/10 8:33PM,10.9 lbs
Weight Recorded,3/10 7:42PM,12.5 lbs
Weight Recorded,3/10 5:11PM,12.3 lbs
Weight Recorded,3/10 4:05PM,12.1 lbs
Weight Recorded,3/10 3:34PM,7.4 lbs
Weight Recorded,3/10 3:33PM,12.9 lbs
Weight Recorded,3/10 11:22AM,10.4 lbs
Weight Recorded,3/10 9:00AM,7.8 lbs
Weight Recorded,3/10 8:16AM,7.0 lbs
Weight Recorded,3/10 6:58AM,10.3 lbs
Weight Recorded,3/10 6:52AM,11.7 lbs
Weight Recorded,3/10 6:50AM,12.4 lbs
Weight Recorded,3/10 1:30AM,10.2 lbs
Weight Recorded,3/10 1:15AM,12.1 lbs
Weight Recorded,3/9 8:42PM,8.3 lbs
Weight Recorded,3/9 7:33PM,8.0 lbs
Weight Recorded,3/9 6:30PM,10.5 lbs
Weight Recorded,3/9 6:00PM,11.5 lbs
Weight Recorded,3/9 5:47PM,12.4 lbs
Weight Recorded,3/9 4:11PM,7.4 lbs
