Activity,Timestamp,Value
Weight Recorded,4/22 3:08PM,12.6 lbs
Weight Recorded,4/22 2:42PM,12.6 lbs
Weight Recorded,4/22 12:27PM,7.9 lbs
Weight Recorded,4/22 9:16AM,11.0 lbs
Weight Recorded,4/22 8:11AM,8.8 lbs
Weight Recorded,4/22 6:00AM,11.2 lbs
Weight Recorded,4/22 5:52AM,8.3 lbs
Weight Recorded,4/22 4:59AM,13.2 lbs
Weight Recorded,4/21 9:44PM,13.2 lbs
Weight Recorded,4/21 7:32PM,7.8 lbs
Weight Recorded,4/21 6:20PM,12.9 lbs
Weight Recorded,4/21 4:47PM,11.4 lbs
Weight Recorded,4/21 4:09PM,12.8 lbs
Weight Recorded,4/21 10:56AM,7.7 lbs
Weight Recorded,4/21 8:51AM,12.6 lbs
Weight Recorded,4/21 6:24AM,9.9 lbs
Weight Recorded,4/21 6:19AM,7.9 lbs
Weight Recorded,4/21 6:12AM,13.6 lbs
Weight Recorded,4/21 5:27AM,12.7 lbs
Weight Recorded,4/20 9:01PM,7.3 lbs
Weight Recorded,4/20 8:54PM,10.4 lbs
Weight Recorded,4/20 8:48PM,12.8 lbs
Weight Recorded,4/20 7:45PM,11.0 lbs
Weight Recorded,4/20 1:09PM,13.3 lbs
Weight Recorded,4/20 10:47AM,12.2 lbs
Weight Recorded,4/20 9:16AM,8.4 lbs
Weight Recorded,4/20 6:18AM,13.1 lbs
Weight Recorded,4/20 5:38AM,7.6 lbs
Weight Recorded,4/20 5:29AM,10.6 lbs
Weight Recorded,4/20 5:08AM,13.1 lbs
Weight Recorded,4/19 10:16PM,12.6 lbs
Weight Recorded,4/19 10:11PM,9.9 lbs
Weight Recorded,4/19 9:54PM,8.1 lbs
Weight Recorded,4/19 8:47PM,11.2 lbs
Weight Recorded,4/19 8:41PM,7.3 lbs
Weight Recorded,4/19 8:33PM,11.3 lbs
Weight Recorded,4/19 6:55PM,13.3 lbs
Weight Recorded,4/19 12:47PM,8.4 lbs
Weight Recorded,4/19 12:01PM,12.5 lbs
Weight Recorded,4/19 11:29AM,11.1 lbs
Weight Recorded,4/19 10:50AM,12.1 lbs
Weight Recorded,4/19 9:39AM,8.3 lbs
Weight Recorded,4/19 8:50AM,12.9 lbs
Weight Recorded,4/19 8:10AM,7.6 lbs
Weight Recorded,4/19 7:10AM,11.4 lbs
Weight Recorded,4/19 6:07AM,8.2 lbs
Weight Recorded,4/19 5:10AM,12.3 lbs
Weight Recorded,4/19 4:52AM,10.8 lbs
Weight Recorded,4/18 10:58PM,12.3 lbs
Weight Recorded,4/18 6:20PM,11.0 lbs
Weight Recorded,4/18 5:40PM,10.3 lbs
Weight Recorded,4/18 5:33PM,12.3 lbs
Weight Recorded,4/18 5:30PM,7.8 lbs
Weight Recorded,4/18 5:15PM,10.9 lbs
Weight Recorded,4/18 8:20AM,8.4 lbs
Weight Recorded,4/18 7:01AM,12.6 lbs
Weight Recorded,4/18 5:15AM,10.3 lbs
Weight Recorded,4/18 5:00AM,13.1 lbs
Weight Recorded,4/17 11:24PM,7.8 lbs
