Activity,Timestamp,Value
Weight Recorded,12/2 11:08AM,12.6 lbs
Weight Recorded,12/2 7:50AM,11.6 lbs
Weight Recorded,12/2 6:05AM,8.2 lbs
Weight Recorded,12/2 5:57AM,9.7 lbs
Weight Recorded,12/2 5:52AM,12.4 lbs
Weight Recorded,12/1 11:26PM,8.3 lbs
Weight Recorded,12/1 10:43PM,12.4 lbs
Weight Recorded,12/1 10:29PM,12.5 lbs
Weight Recorded,12/1 9:10PM,8.2 lbs
Weight Recorded,12/1 9:01PM,11.6 lbs
Weight Recorded,12/1 7:28PM,12.6 lbs
Weight Recorded,12/1 5:34PM,8.3 lbs
Weight Recorded,12/1 3:34PM,12.5 lbs
Weight Recorded,12/1 10:42AM,11.4 lbs
Weight Recorded,12/1 10:23AM,12.5 lbs
Weight Recorded,12/1 10:15AM,11.5 lbs
Weight Recorded,12/1 7:31AM,9.8 lbs
Weight Recorded,12/1 7:10AM,9.9 lbs
Weight Recorded,12/1 7:02AM,8.1 lbs
Weight Recorded,12/1 6:08AM,12.4 lbs
Weight Recorded,11/30 10:09PM,8.1 lbs
Weight Recorded,11/30 9:29PM,8.1 lbs
Weight Recorded,11/30 9:26PM,12.3 lbs
Weight Recorded,11/30 9:15PM,11.6 lbs
Weight Recorded,11/30 7:14PM,12.6 lbs
Weight Recorded,11/30 6:01PM,9.9 lbs
Weight Recorded,11/30 5:18PM,8.3 lbs
Weight Recorded,11/30 4:57PM,12.5 lbs
Weight Recorded,11/30 9:38AM,9.7 lbs
Weight Recorded,11/30 9:24AM,11.6 lbs
Weight Recorded,11/30 8:48AM,8.1 lbs
Weight Recorded,11/30 8:36AM,12.5 lbs
Weight Recorded,11/30 3:49AM,8.3 lbs
Weight Recorded,11/30 3:36AM,12.5 lbs
Weight Recorded,11/29 11:45PM,12.4 lbs
Weight Recorded,11/29 11:25PM,9.8 lbs
Weight Recorded,11/29 11:10PM,8.2 lbs
Weight Recorded,11/29 7:45PM,12.3 lbs
Weight Recorded,11/29 7:27PM,11.4 lbs
Weight Recorded,11/29 4:58PM,9.9 lbs
Weight Recorded,11/29 4:45PM,8.2 lbs
Weight Recorded,11/29 2:37PM,8.3 lbs
Weight Recorded,11/29 12:31PM,12.4 lbs
Weight Recorded,11/29 10:33AM,10.0 lbs
Weight Recorded,11/29 9:08AM,8.2 lbs
Weight Recorded,11/29 8:27AM,11.5 lbs
Weight Recorded,11/29 8:15AM,12.4 lbs
Weight Recorded,11/29 7:00AM,8.2 lbs
Weight Recorded,11/29 5:06AM,12.4 lbs
Weight Recorded,11/28 10:55PM,12.5 lbs
Weight Recorded,11/28 10:34PM,11.6 lbs
Weight Recorded,11/28 9:35PM,12.6 lbs
Weight Recorded,11/28 8:52PM,8.3 lbs
Weight Recorded,11/28 6:16PM,9.9 lbs
Weight Recorded,11/28 5:00PM,8.1 lbs
Weight Recorded,11/28 2:35PM,12.5 lbs
Weight Recorded,11/28 10:35AM,12.4 lbs
