Activity,Timestamp,Value
Weight Recorded,4/2 9:15AM,10.5 lbs
Weight Recorded,4/2 8:01AM,4.0 lbs
Weight Recorded,4/2 6:13AM,12.8 lbs
Weight Recorded,4/2 2:07AM,7.2 lbs
Weight Recorded,4/2 2:02AM,8.3 lbs
Weight Recorded,4/1 10:46PM,10.5 lbs
Weight Recorded,4/1 10:36PM,12.2 lbs
Weight Recorded,4/1 10:18PM,12.6 lbs
Weight Recorded,4/1 4:33PM,13.0 lbs
Weight Recorded,4/1 2:39PM,7.4 lbs
Weight Recorded,4/1 11:45AM,11.6 lbs
Weight Recorded,4/1 11:43AM,10.8 lbs
Weight Recorded,4/1 11:33AM,10.1 lbs
Weight Recorded,4/1 11:16AM,11.1 lbs
Weight Recorded,4/1 11:00AM,12.1 lbs
Weight Recorded,4/1 8:44AM,7.8 lbs
Weight Recorded,4/1 8:37AM,10.6 lbs
Weight Recorded,4/1 6:27AM,10.2 lbs
Weight Recorded,4/1 6:15AM,12.5 lbs
Weight Recorded,3/31 11:16PM,11.7 lbs
Weight Recorded,3/31 10:29PM,7.4 lbs
Weight Recorded,3/31 10:19PM,7.0 lbs
Weight Recorded,3/31 9:24PM,11.8 lbs
Weight Recorded,3/31 9:14PM,10.1 lbs
Weight Recorded,3/31 6:39PM,12.4 lbs
Weight Recorded,3/31 5:15PM,12.9 lbs
Weight Recorded,3/31 2:28PM,7.3 lbs
Weight Recorded,3/31 2:11PM,10.6 lbs
Weight Recorded,3/31 1:38PM,12.7 lbs
Weight Recorded,3/31 10:25AM,7.7 lbs
Weight Recorded,3/31 8:50AM,10.9 lbs
Weight Recorded,3/31 8:38AM,12.2 lbs
Weight Recorded,3/31 8:29AM,11.1 lbs
Weight Recorded,3/31 8:15AM,7.3 lbs
Weight Recorded,3/31 5:25AM,13.0 lbs
Weight Recorded,3/31 12:19AM,8.4 lbs
Weight Recorded,3/30 11:27PM,10.5 lbs
Weight Recorded,3/30 11:17PM,10.3 lbs
Weight Recorded,3/30 11:13PM,12.5 lbs
Weight Recorded,3/30 8:44PM,7.9 lbs
Weight Recorded,3/30 6:36PM,12.4 lbs
Weight Recorded,3/30 6:29PM,12.6 lbs
Weight Recorded,3/30 12:59PM,7.2 lbs
Weight Recorded,3/30 10:25AM,10.4 lbs
Weight Recorded,3/30 10:17AM,12.8 lbs
Weight Recorded,3/30 10:15AM,9.9 lbs
Weight Recorded,3/30 10:13AM,11.5 lbs
Weight Recorded,3/30 7:32AM,7.3 lbs
Weight Recorded,3/30 5:56AM,12.4 lbs
Weight Recorded,3/30 1:03AM,10.7 lbs
Weight Recorded,3/29 11:50PM,11.6 lbs
Weight Recorded,3/29 11:04PM,10.6 lbs
Weight Recorded,3/29 10:54PM,12.7 lbs
Weight Recorded,3/29 7:30PM,10.8 lbs
Weight Recorded,3/29 7:13PM,12.7 lbs
Weight Recorded,3/29 7:10PM,11.3 lbs
Weight Recorded,3/29 7:08PM,8.0 lbs
Weight Recorded,3/29 10:03AM,13.0 lbs
Weight Recorded,3/29 8:57AM,10.7 lbs
Weight Recorded,3/29 8:12AM,8.1 lbs
Weight Recorded,3/29 7:27AM,11.7 lbs
Weight Recorded,3/29 6:20AM,13.2 lbs
Weight Recorded,3/29 12:43AM,11.2 lbs
Weight Recorded,3/28 11:45PM,12.7 lbs
Weight Recorded,3/28 8:58PM,7.7 lbs
Weight Recorded,3/28 6:58PM,10.5 lbs
Weight Recorded,3/28 6:55PM,11.6 lbs
Weight Recorded,3/28 6:26PM,10.8 lbs
Weight Recorded,3/28 6:01PM,12.0 lbs
Weight Recorded,3/28 4:36PM,7.1 lbs
Weight Recorded,3/28 10:22AM,11.7 lbs
Weight Recorded,3/28 9:28AM,8.2 lbs
Weight Recorded,3/28 7:05AM,9.9 lbs
Weight Recorded,3/28 6:51AM,12.3 lbs
Weight Recorded,3/28 6:43AM,12.3 lbs
Weight Recorded,3/28 6:34AM,7.9 lbs
Weight Recorded,3/27 11:16PM,10.5 lbs
Weight Recorded,3/27 10:55PM,12.3 lbs
Weight Recorded,3/27 10:25PM,6.5 lbs
Weight Recorded,3/27 10:24PM,8.1 lbs
Weight Recorded,3/27 8:40PM,11.0 lbs
Weight Recorded,3/27 8:30PM,12.5 lbs
Weight Recorded,3/27 8:24PM,13.2 lbs
Weight Recorded,3/27 6:07PM,11.0 lbs
Weight Recorded,3/27 5:46PM,10.7 lbs
Weight Recorded,3/27 5:28PM,10.3 lbs
Weight Recorded,3/27 5:01PM,12.0 lbs
Weight Recorded,3/27 4:55PM,7.7 lbs
Weight Recorded,3/27 1:08PM,12.7 lbs
Weight Recorded,3/27 10:51AM,10.6 lbs
Weight Recorded,3/27 10:15AM,8.0 lbs
Weight Recorded,3/27 6:58AM,10.9 lbs
Weight Recorded,3/27 6:53AM,7.3 lbs
Weight Recorded,3/27 6:32AM,12.3 lbs
Weight Recorded,3/27 6:00AM,11.4 lbs
Weight Recorded,3/27 5:18AM,12.7 lbs
Weight Recorded,3/26 10:08PM,12.8 lbs
Weight Recorded,3/26 9:32PM,11.5 lbs
Weight Recorded,3/26 6:08PM,10.4 lbs
Weight Recorded,3/26 5:29PM,7.7 lbs
Weight Recorded,3/26 4:36PM,12.6 lbs
Weight Recorded,3/26 12:47PM,7.3 lbs
Weight Recorded,3/26 10:28AM,10.4 lbs
Weight Recorded,3/26 7:32AM,10.8 lbs
Weight Recorded,3/26 7:05AM,7.5 lbs
Weight Recorded,3/26 6:29AM,9.7 lbs
Weight Recorded,3/26 6:04AM,12.3 lbs
Weight Recorded,3/26 5:33AM,12.4 lbs
Weight Recorded,3/26 2:11AM,10.7 lbs
Weight Recorded,3/25 10:08PM,12.3 lbs
Weight Recorded,3/25 8:54PM,11.8 lbs
Weight Recorded,3/25 7:56PM,11.0 lbs
Weight Recorded,3/25 6:46PM,12.8 lbs
Weight Recorded,3/25 4:05PM,7.5 lbs
Weight Recorded,3/25 11:44AM,12.8 lbs
Weight Recorded,3/25 10:15AM,10.7 lbs
Weight Recorded,3/25 8:37AM,7.9 lbs
Weight Recorded,3/25 6:59AM,11.9 lbs
Weight Recorded,3/25 6:38AM,7.7 lbs
Weight Recorded,3/25 6:00AM,12.8 lbs
Weight Recorded,3/25 5:53AM,10.5 lbs
Weight Recorded,3/25 12:07AM,12.5 lbs
Weight Recorded,3/24 10:04PM,10.9 lbs
Weight Recorded,3/24 10:01PM,11.8 lbs
Weight Recorded,3/24 9:54PM,12.3 lbs
Weight Recorded,3/24 6:26PM,12.2 lbs
Weight Recorded,3/24 6:15PM,12.3 lbs
Weight Recorded,3/24 4:59PM,11.3 lbs
Weight Recorded,3/24 11:18AM,12.5 lbs
Weight Recorded,3/24 11:05AM,10.7 lbs
Weight Recorded,3/24 8:34AM,8.1 lbs
Weight Recorded,3/24 7:36AM,12.3 lbs
Weight Recorded,3/24 7:01AM,10.5 lbs
Weight Recorded,3/24 6:36AM,12.1 lbs
Weight Recorded,3/24 6:17AM,7.3 lbs
Weight Recorded,3/24 12:36AM,10.3 lbs
Weight Recorded,3/24 12:26AM,12.3 lbs
Weight Recorded,3/23 9:45PM,7.4 lbs
Weight Recorded,3/23 8:21PM,10.9 lbs
Weight Recorded,3/23 8:04PM,7.3 lbs
Weight Recorded,3/23 6:36PM,11.9 lbs
Weight Recorded,3/23 6:27PM,10.1 lbs
Weight Recorded,3/23 12:24PM,7.4 lbs
Weight Recorded,3/23 10:39AM,11.0 lbs
Weight Recorded,3/23 9:54AM,12.4 lbs
Weight Recorded,3/23 9:05AM,11.4 lbs
Weight Recorded,3/23 7:42AM,7.6 lbs
Weight Recorded,3/23 7:25AM,9.9 lbs
Weight Recorded,3/23 7:19AM,11.9 lbs
Weight Recorded,3/23 7:08AM,12.1 lbs
Weight Recorded,3/23 5:38AM,10.6 lbs
Weight Recorded,3/23 4:39AM,12.6 lbs
Weight Recorded,3/23 2:20AM,5.5 lbs
Weight Recorded,3/23 12:21AM,12.1 lbs
Weight Recorded,3/23 12:12AM,8.3 lbs
Weight Recorded,3/22 9:57PM,12.7 lbs
Weight Recorded,3/22 9:49PM,7.1 lbs
Weight Recorded,3/22 9:18PM,11.3 lbs
Weight Recorded,3/22 9:12PM,10.3 lbs
Weight Recorded,3/22 6:50PM,12.4 lbs
Weight Recorded,3/22 3:44PM,7.3 lbs
Weight Recorded,3/22 10:58AM,11.2 lbs
Weight Recorded,3/22 10:22AM,10.6 lbs
Weight Recorded,3/22 8:07AM,11.1 lbs
Weight Recorded,3/22 6:51AM,7.2 lbs
Weight Recorded,3/22 5:59AM,12.1 lbs
Weight Recorded,3/22 5:29AM,10.6 lbs
Weight Recorded,3/22 12:31AM,7.3 lbs
Weight Recorded,3/21 10:11PM,12.5 lbs
Weight Recorded,3/21 10:10PM,12.4 lbs
Weight Recorded,3/21 8:32PM,11.7 lbs
Weight Recorded,3/21 4:38PM,9.4 lbs
Weight Recorded,3/21 4:32PM,6.8 lbs
Weight Recorded,3/21 4:19PM,12.5 lbs
Weight Recorded,3/21 1:37PM,10.6 lbs
Weight Recorded,3/21 10:11AM,8.2 lbs
Weight Recorded,3/21 6:48AM,10.8 lbs
Weight Recorded,3/21 6:21AM,7.3 lbs
Weight Recorded,3/21 6:17AM,12.5 lbs
Weight Recorded,3/21 5:24AM,10.9 lbs
Weight Recorded,3/20 10:53PM,12.4 lbs
Weight Recorded,3/20 10:10PM,7.5 lbs
Weight Recorded,3/20 8:55PM,10.2 lbs
Weight Recorded,3/20 6:50PM,9.3 lbs
Weight Recorded,3/20 6:41PM,11.9 lbs
Weight Recorded,3/20 6:32PM,12.1 lbs
Weight Recorded,3/20 5:36PM,8.2 lbs
Weight Recorded,3/20 3:27PM,9.3 lbs
Weight Recorded,3/20 3:24PM,10.5 lbs
Weight Recorded,3/20 1:18PM,12.3 lbs
Weight Recorded,3/20 11:17AM,10.8 lbs
Weight Recorded,3/20 7:37AM,10.1 lbs
Weight Recorded,3/20 7:14AM,11.1 lbs
Weight Recorded,3/20 6:33AM,8.1 lbs
Weight Recorded,3/20 5:49AM,12.2 lbs
Weight Recorded,3/20 12:59AM,10.0 lbs
Weight Recorded,3/20 12:40AM,11.7 lbs
Weight Recorded,3/19 8:07PM,11.5 lbs
Weight Recorded,3/19 7:53PM,12.6 lbs
Weight Recorded,3/19 6:41PM,10.4 lbs
Weight Recorded,3/19 6:14PM,12.2 lbs
Weight Recorded,3/19 1:44PM,7.0 lbs
Weight Recorded,3/19 1:38PM,7.6 lbs
Weight Recorded,3/19 1:10PM,13.2 lbs
Weight Recorded,3/19 7:05AM,10.5 lbs
Weight Recorded,3/19 6:41AM,11.4 lbs
Weight Recorded,3/19 6:14AM,11.8 lbs
Weight Recorded,3/19 6:07AM,8.3 lbs
Weight Recorded,3/19 1:00AM,12.8 lbs
Weight Recorded,3/18 10:45PM,10.6 lbs
Weight Recorded,3/18 10:06PM,7.7 lbs
Weight Recorded,3/18 7:44PM,9.7 lbs
Weight Recorded,3/18 7:31PM,9.8 lbs
Weight Recorded,3/18 7:17PM,7.0 lbs
Weight Recorded,3/18 7:06PM,12.4 lbs
Weight Recorded,3/18 6:19PM,12.0 lbs
Weight Recorded,3/18 1:24PM,10.8 lbs
Weight Recorded,3/18 12:35PM,8.6 lbs
Weight Recorded,3/18 10:43AM,12.9 lbs
Weight Recorded,3/18 9:13AM,8.6 lbs
Weight Recorded,3/18 6:06AM,12.2 lbs
Weight Recorded,3/18 5:50AM,7.7 lbs
Weight Recorded,3/18 5:30AM,11.3 lbs
Weight Recorded,3/18 5:09AM,11.0 lbs
Weight Recorded,3/17 11:15PM,12.2 lbs
Weight Recorded,3/17 9:53PM,11.0 lbs
Weight Recorded,3/17 9:45PM,10.9 lbs
Weight Recorded,3/17 9:32PM,11.6 lbs
Weight Recorded,3/17 9:28PM,7.9 lbs
Weight Recorded,3/17 8:05PM,7.5 lbs
Weight Recorded,3/17 6:50PM,10.2 lbs
Weight Recorded,3/17 6:46PM,12.3 lbs
Weight Recorded,3/17 2:09PM,12.6 lbs
Weight Recorded,3/17 1:27PM,7.6 lbs
Weight Recorded,3/17 10:18AM,11.4 lbs
Weight Recorded,3/17 9:33AM,8.0 lbs
Weight Recorded,3/17 7:03AM,7.3 lbs
Weight Recorded,3/17 6:13AM,6.3 lbs
Weight Recorded,3/17 5:57AM,10.0 lbs
Weight Recorded,3/17 5:46AM,12.0 lbs
Weight Recorded,3/17 12:31AM,10.7 lbs
Weight Recorded,3/17 12:08AM,9.5 lbs
Weight Recorded,3/16 10:33PM,8.2 lbs
Weight Recorded,3/16 9:13PM,11.3 lbs
Weight Recorded,3/16 9:11PM,5.7 lbs
Weight Recorded,3/16 8:32PM,13.1 lbs
Weight Recorded,3/16 7:38PM,11.3 lbs
Weight Recorded,3/16 7:34PM,7.9 lbs
Weight Recorded,3/16 4:06PM,11.9 lbs
Weight Recorded,3/16 3:41PM,8.3 lbs
Weight Recorded,3/16 10:26AM,10.1 lbs
Weight Recorded,3/16 10:04AM,8.0 lbs
Weight Recorded,3/16 7:16AM,9.5 lbs
Weight Recorded,3/16 6:53AM,7.8 lbs
Weight Recorded,3/16 6:25AM,11.7 lbs
Weight Recorded,3/16 6:19AM,12.9 lbs
Weight Recorded,3/16 12:21AM,12.8 lbs
Weight Recorded,3/15 9:46PM,7.6 lbs
Weight Recorded,3/15 8:02PM,10.6 lbs
Weight Recorded,3/15 6:58PM,12.5 lbs
Weight Recorded,3/15 5:21PM,8.4 lbs
Weight Recorded,3/15 3:58PM,8.4 lbs
Weight Recorded,3/15 2:52PM,7.6 lbs
Weight Recorded,3/15 11:38AM,12.7 lbs
Weight Recorded,3/15 10:57AM,9.8 lbs
Weight Recorded,3/15 9:56AM,8.2 lbs
Weight Recorded,3/15 9:14AM,12.6 lbs
Weight Recorded,3/15 9:10AM,11.3 lbs
Weight Recorded,3/15 6:32AM,11.4 lbs
Weight Recorded,3/15 6:06AM,11.1 lbs
Weight Recorded,3/15 1:07AM,7.9 lbs
Weight Recorded,3/15 12:28AM,12.5 lbs
Weight Recorded,3/14 11:13PM,10.9 lbs
Weight Recorded,3/14 10:53PM,7.9 lbs
Weight Recorded,3/14 9:29PM,7.3 lbs
Weight Recorded,3/14 8:16PM,10.7 lbs
Weight Recorded,3/14 7:18PM,13.1 lbs
Weight Recorded,3/14 3:43PM,9.6 lbs
Weight Recorded,3/14 3:40PM,11.9 lbs
Weight Recorded,3/14 3:34PM,9.6 lbs
Weight Recorded,3/14 3:14PM,9.9 lbs
Weight Recorded,3/14 3:08PM,7.1 lbs
Weight Recorded,3/14 3:03PM,8.0 lbs
Weight Recorded,3/14 7:46AM,7.9 lbs
Weight Recorded,3/14 7:02AM,7.0 lbs
Weight Recorded,3/14 6:43AM,11.2 lbs
Weight Recorded,3/14 6:40AM,12.7 lbs
Weight Recorded,3/14 6:02AM,10.0 lbs
Weight Recorded,3/14 5:44AM,13.2 lbs
Weight Recorded,3/14 5:05AM,10.8 lbs
Weight Recorded,3/14 12:56AM,13.1 lbs
Weight Recorded,3/13 9:40PM,7.5 lbs
Weight Recorded,3/13 9:32PM,11.6 lbs
Weight Recorded,3/13 6:58PM,10.4 lbs
Weight Recorded,3/13 6:37PM,10.1 lbs
Weight Recorded,3/13 6:28PM,12.2 lbs
Weight Recorded,3/13 5:11PM,7.4 lbs
Weight Recorded,3/13 8:06AM,7.3 lbs
Weight Recorded,3/13 7:09AM,12.2 lbs
Weight Recorded,3/13 7:04AM,11.0 lbs
Weight Recorded,3/13 6:56AM,11.0 lbs
Weight Recorded,3/13 6:50AM,12.7 lbs
Weight Recorded,3/13 6:09AM,10.3 lbs
Weight Recorded,3/12 11:44PM,7.3 lbs
Weight Recorded,3/12 11:38PM,11.7 lbs
Weight Recorded,3/12 10:09PM,7.0 lbs
Weight Recorded,3/12 9:29PM,10.6 lbs
Weight Recorded,3/12 8:55PM,10.3 lbs
Weight Recorded,3/12 7:47PM,11.9 lbs
Weight Recorded,3/12 5:21PM,11.0 lbs
Weight Recorded,3/12 4:42PM,9.1 lbs
Weight Recorded,3/12 4:13PM,7.5 lbs
Weight Recorded,3/12 3:11PM,11.9 lbs
Weight Recorded,3/12 10:10AM,7.4 lbs
Weight Recorded,3/12 8:29AM,7.8 lbs
Weight Recorded,3/12 7:47AM,11.7 lbs
Weight Recorded,3/12 6:41AM,12.8 lbs
Weight Recorded,3/12 12:19AM,7.6 lbs
Weight Recorded,3/12 12:12AM,13.2 lbs
Weight Recorded,3/11 8:56PM,10.6 lbs
Weight Recorded,3/11 8:12PM,12.4 lbs
Weight Recorded,3/11 7:31PM,7.4 lbs
Weight Recorded,3/11 5:16PM,10.7 lbs
Weight Recorded,3/11 5:05PM,11.6 lbs
Weight Recorded,3/11 4:59PM,12.5 lbs
Weight Recorded,3/11 1:44PM,8.3 lbs
Weight Recorded,3/11 10:23AM,10.9 lbs
Weight Recorded,3/11 8:26AM,12.0 lbs
Weight Recorded,3/11 8:21AM,8.1 lbs
Weight Recorded,3/11 6:47AM,11.2 lbs
Weight Recorded,3/11 5:17AM,13.1 lbs
Weight Recorded,3/10 11:12PM,12.8 lbs
Weight Recorded,3/10 10:22PM,12.2 lbs
Weight Recorded,3/10 9:57PM,7.4 lbs
Weight Recorded,3/10 8:33PM,10.9 lbs
Weight Recorded,3/10 7:42PM,12.5 lbs
Weight Recorded,3/10 5:11PM,12.3 lbs
Weight Recorded,3/10 4:05PM,12.1 lbs
Weight Recorded,3/10 3:34PM,7.4 lbs
Weight Recorded,3/10 3:33PM,12.9 lbs
Weight Recorded,3/10 11:22AM,10.4 lbs
Weight Recorded,3/10 9:00AM,7.8 lbs
Weight Recorded,3/10 8:16AM,7.0 lbs
Weight Recorded,3/10 6:58AM,10.3 lbs
Weight Recorded,3/10 6:52AM,11.7 lbs
Weight Recorded,3/10 6:50AM,12.4 lbs
Weight Recorded,3/10 1:30AM,10.2 lbs
Weight Recorded,3/10 1:15AM,12.1 lbs
Weight Recorded,3/9 8:42PM,8.3 lbs
Weight Recorded,3/9 7:33PM,8.0 lbs
Weight Recorded,3/9 6:00PM,11.5 lbs
Weight Recorded,3/9 5:47PM,12.4 lbs
Weight Recorded,3/9 4:11PM,7.4 lbs
Weight Recorded,3/9 12:32PM,12.3 lbs
Weight Recorded,3/9 9:44AM,11.3 lbs
Weight Recorded,3/9 9:33AM,10.6 lbs
Weight Recorded,3/9 9:26AM,11.7 lbs
Weight Recorded,3/9 7:36AM,7.8 lbs
Weight Recorded,3/9 6:58AM,12.3 lbs
Weight Recorded,3/9 4:19AM,10.4 lbs
Weight Recorded,3/9 12:33AM,12.2 lbs
Weight Recorded,3/8 9:33PM,11.0 lbs
Weight Recorded,3/8 8:55PM,10.2 lbs
Weight Recorded,3/8 8:07PM,6.7 lbs
Weight Recorded,3/8 8:37PM,10.8 lbs
Weight Recorded,3/8 5:58PM,7.1 lbs
Weight Recorded,3/8 5:36PM,12.2 lbs
Weight Recorded,3/8 10:01AM,10.5 lbs
Weight Recorded,3/8 9:54AM,11.7 lbs
Weight Recorded,3/8 9:18AM,12.2 lbs
Weight Recorded,3/8 7:01AM,8.0 lbs
Weight Recorded,3/8 5:24AM,11.1 lbs
Weight Recorded,3/8 5:19AM,10.9 lbs
Weight Recorded,3/8 12:09AM,9.3 lbs
Weight Recorded,3/8 12:02AM,9.7 lbs
Weight Recorded,3/7 11:34PM,10.1 lbs
Weight Recorded,3/7 10:58PM,11.9 lbs
Weight Recorded,3/7 8:30PM,12.4 lbs
Weight Recorded,3/7 7:24PM,9.1 lbs
Weight Recorded,3/7 7:16PM,12.2 lbs
Weight Recorded,3/7 6:50PM,7.4 lbs
Weight Recorded,3/7 4:29PM,11.0 lbs
Weight Recorded,3/7 4:16PM,7.5 lbs
Weight Recorded,3/7 11:27AM,10.0 lbs
Weight Recorded,3/7 11:13AM,11.6 lbs
Weight Recorded,3/7 10:54AM,7.2 lbs
Weight Recorded,3/7 6:39AM,8.2 lbs
Weight Recorded,3/7 5:58AM,12.1 lbs
Weight Recorded,3/7 4:38AM,10.5 lbs
Weight Recorded,3/7 4:01AM,12.2 lbs
Weight Recorded,3/6 9:57PM,6.5 lbs
Weight Recorded,3/6 9:43PM,13.1 lbs
Weight Recorded,3/6 8:55PM,10.8 lbs
Weight Recorded,3/6 8:21PM,12.2 lbs
Weight Recorded,3/6 6:26PM,10.7 lbs
Weight Recorded,3/6 6:08PM,9.9 lbs
Weight Recorded,3/6 6:06PM,11.9 lbs
Weight Recorded,3/6 4:50PM,11.3 lbs
Weight Recorded,3/6 4:28PM,12.4 lbs
Weight Recorded,3/6 3:34PM,11.9 lbs
Weight Recorded,3/6 3:32PM,6.5 lbs
Weight Recorded,3/6 9:25AM,12.3 lbs
Weight Recorded,3/6 6:40AM,10.1 lbs
Weight Recorded,3/6 6:30AM,7.2 lbs
Weight Recorded,3/6 5:35AM,9.8 lbs
Weight Recorded,3/6 4:18AM,12.4 lbs
