Activity,Timestamp,Value
Weight Recorded,12/26 8:16AM,8.0 lbs
Weight Recorded,12/26 6:49AM,10.1 lbs
Weight Recorded,12/26 6:40AM,12.2 lbs
Weight Recorded,12/26 12:31AM,10.1 lbs
Weight Recorded,12/26 12:20AM,10.1 lbs
Weight Recorded,12/25 10:37PM,12.2 lbs
Weight Recorded,12/25 8:21PM,7.7 lbs
Weight Recorded,12/25 7:59PM,11.0 lbs
Weight Recorded,12/25 6:58PM,10.2 lbs
Weight Recorded,12/25 3:51PM,12.1 lbs
Weight Recorded,12/25 1:26PM,8.1 lbs
Weight Recorded,12/25 10:31AM,11.4 lbs
Weight Recorded,12/25 10:06AM,12.2 lbs
Weight Recorded,12/25 10:02AM,9.9 lbs
Weight Recorded,12/25 9:31AM,8.1 lbs
Weight Recorded,12/25 5:00AM,12.2 lbs
Weight Recorded,12/25 3:40AM,11.1 lbs
Weight Recorded,12/25 2:00AM,12.0 lbs
Weight Recorded,12/25 1:57AM,12.2 lbs
Weight Recorded,12/25 1:45AM,10.0 lbs
Weight Recorded,12/25 1:21AM,8.3 lbs
Weight Recorded,12/24 11:49PM,10.0 lbs
Weight Recorded,12/24 11:08PM,10.1 lbs
Weight Recorded,12/24 7:02PM,12.3 lbs
Weight Recorded,12/24 4:18PM,8.2 lbs
Weight Recorded,12/24 12:01PM,9.8 lbs
Weight Recorded,12/24 11:55AM,7.7 lbs
Weight Recorded,12/24 11:30AM,12.1 lbs
Weight Recorded,12/24 10:56AM,12.0 lbs
Weight Recorded,12/24 10:47AM,10.1 lbs
Weight Recorded,12/24 9:48AM,10.1 lbs
Weight Recorded,12/24 9:18AM,12.2 lbs
Weight Recorded,12/24 9:14AM,12.3 lbs
Weight Recorded,12/24 8:01AM,11.6 lbs
Weight Recorded,12/24 7:43AM,8.8 lbs
Weight Recorded,12/24 7:35AM,12.8 lbs
Weight Recorded,12/24 7:31AM,13.0 lbs
Weight Recorded,12/24 7:18AM,12.0 lbs
Weight Recorded,12/24 4:51AM,7.9 lbs
Weight Recorded,12/24 12:56AM,11.1 lbs
Weight Recorded,12/24 12:52AM,13.0 lbs
Weight Recorded,12/23 9:31PM,7.9 lbs
Weight Recorded,12/23 7:19PM,11.0 lbs
Weight Recorded,12/23 6:03PM,11.0 lbs
Weight Recorded,12/23 5:08PM,11.0 lbs
Weight Recorded,12/23 4:49PM,12.4 lbs
Weight Recorded,12/23 2:49PM,8.1 lbs
Weight Recorded,12/23 7:35AM,8.2 lbs
Weight Recorded,12/23 6:42AM,13.1 lbs
Weight Recorded,12/23 6:25AM,13.4 lbs
Weight Recorded,12/23 6:20AM,10.5 lbs
Weight Recorded,12/23 3:38AM,12.6 lbs
Weight Recorded,12/23 1:12AM,8.7 lbs
Weight Recorded,12/22 11:16PM,13.1 lbs
Weight Recorded,12/22 10:56PM,11.3 lbs
Weight Recorded,12/22 5:19PM,12.3 lbs
Weight Recorded,12/22 3:39PM,8.5 lbs
Weight Recorded,12/22 1:15PM,10.8 lbs
Weight Recorded,12/22 7:44AM,8.1 lbs
Weight Recorded,12/22 7:26AM,12.1 lbs
Weight Recorded,12/22 6:35AM,11.1 lbs
Weight Recorded,12/22 6:27AM,13.3 lbs
Weight Recorded,12/22 6:25AM,12.4 lbs
Weight Recorded,12/22 6:23AM,12.2 lbs
Weight Recorded,12/22 6:22AM,12.3 lbs
Weight Recorded,12/22 6:19AM,12.8 lbs
Weight Recorded,12/22 6:09AM,12.3 lbs
Weight Recorded,12/22 5:31AM,12.9 lbs
