Activity,Timestamp,Value
Weight Recorded,7/11 9:42PM,6.1 lbs
Weight Recorded,7/11 8:18PM,7.9 lbs
Weight Recorded,7/11 6:33PM,12.2 lbs
Weight Recorded,7/11 4:37PM,12.3 lbs
Weight Recorded,7/11 3:44PM,7.5 lbs
Weight Recorded,7/11 3:23PM,7.8 lbs
Weight Recorded,7/11 2:31PM,10.8 lbs
Weight Recorded,7/11 2:20PM,12.2 lbs
Weight Recorded,7/11 1:08PM,11.8 lbs
Weight Recorded,7/11 12:58PM,11.8 lbs
Weight Recorded,7/11 12:54PM,12.3 lbs
Weight Recorded,7/11 11:16AM,7.8 lbs
Weight Recorded,7/11 9:30AM,7.8 lbs
Weight Recorded,7/11 7:05AM,7.8 lbs
Weight Recorded,7/11 5:44AM,10.8 lbs
Weight Recorded,7/11 4:03AM,7.6 lbs
Weight Recorded,7/11 2:11AM,7.9 lbs
Weight Recorded,7/11 1:59AM,10.8 lbs
Weight Recorded,7/11 12:49AM,11.7 lbs
Weight Recorded,7/10 9:10PM,7.4 lbs
Weight Recorded,7/10 8:03PM,7.6 lbs
Weight Recorded,7/10 3:18PM,4.6 lbs
Weight Recorded,7/10 12:58PM,10.6 lbs
Weight Recorded,7/10 11:41AM,12.3 lbs
Weight Recorded,7/10 7:26AM,7.8 lbs
Weight Recorded,7/10 4:54AM,7.8 lbs
Weight Recorded,7/10 2:08AM,11.9 lbs
Weight Recorded,7/10 1:47AM,7.5 lbs
Weight Recorded,7/9 8:53PM,7.7 lbs
Weight Recorded,7/9 8:40PM,7.7 lbs
Weight Recorded,7/9 8:23PM,12.1 lbs
Weight Recorded,7/9 7:56PM,10.6 lbs
Weight Recorded,7/9 7:54PM,10.5 lbs
Weight Recorded,7/9 7:33PM,12.4 lbs
Weight Recorded,7/9 1:02PM,7.9 lbs
Weight Recorded,7/9 6:43AM,7.8 lbs
Weight Recorded,7/9 6:22AM,11.9 lbs
Weight Recorded,7/9 6:20AM,5.7 lbs
Weight Recorded,7/9 4:35AM,10.6 lbs
Weight Recorded,7/9 12:06AM,7.6 lbs
Weight Recorded,7/8 11:59PM,7.8 lbs
Weight Recorded,7/8 11:21PM,11.7 lbs
Weight Recorded,7/8 2:52PM,11.8 lbs
Weight Recorded,7/8 10:58AM,10.4 lbs
Weight Recorded,7/8 10:25AM,12.1 lbs
Weight Recorded,7/8 8:05AM,10.4 lbs
Weight Recorded,7/8 12:04AM,7.6 lbs
Weight Recorded,7/7 11:30PM,11.8 lbs
Weight Recorded,7/7 3:45PM,7.6 lbs
Weight Recorded,7/7 3:08PM,10.3 lbs
Weight Recorded,7/7 3:07PM,10.6 lbs
Weight Recorded,7/7 1:33PM,12.4 lbs
Weight Recorded,7/7 5:48AM,7.6 lbs
Weight Recorded,7/7 2:48AM,11.7 lbs
Weight Recorded,7/7 1:45AM,11.6 lbs
Weight Recorded,7/6 7:46PM,7.6 lbs
Weight Recorded,7/6 6:26PM,10.2 lbs
Weight Recorded,7/6 5:26PM,12.5 lbs
Weight Recorded,7/6 11:47AM,7.7 lbs
Weight Recorded,7/6 11:06AM,12.2 lbs
Weight Recorded,7/6 6:48AM,7.8 lbs
Weight Recorded,7/6 4:48AM,10.4 lbs
Weight Recorded,7/6 2:32AM,11.8 lbs
Weight Recorded,7/5 6:19PM,12.1 lbs
Weight Recorded,7/5 3:54PM,12.2 lbs
Weight Recorded,7/5 2:09PM,5.6 lbs
Weight Recorded,7/5 6:54AM,7.6 lbs
Weight Recorded,7/5 6:45AM,11.6 lbs
Weight Recorded,7/5 6:36AM,12.0 lbs
Weight Recorded,7/4 5:53PM,12.2 lbs
Weight Recorded,7/4 5:50PM,12.2 lbs
Weight Recorded,7/4 3:54PM,8.1 lbs
Weight Recorded,7/4 11:54AM,8.1 lbs
Weight Recorded,7/4 10:53AM,12.1 lbs
Weight Recorded,7/4 10:33AM,10.4 lbs
Weight Recorded,7/4 10:18AM,10.8 lbs
Weight Recorded,7/4 6:37AM,8.1 lbs
Weight Recorded,7/4 5:49AM,12.1 lbs
Weight Recorded,7/4 2:31AM,12.1 lbs
Weight Recorded,7/4 1:31AM,8.1 lbs
Weight Recorded,7/3 6:42PM,10.6 lbs
Weight Recorded,7/3 3:41PM,11.8 lbs
Weight Recorded,7/3 1:05PM,12.2 lbs
Weight Recorded,7/3 12:02PM,11.7 lbs
Weight Recorded,7/3 12:01PM,12.2 lbs
Weight Recorded,7/3 6:17AM,8.0 lbs
Weight Recorded,7/3 6:05AM,10.5 lbs
Weight Recorded,7/3 5:22AM,10.8 lbs
Weight Recorded,7/3 2:02AM,12.2 lbs
Weight Recorded,7/2 9:53PM,7.6 lbs
Weight Recorded,7/2 9:46PM,7.7 lbs
Weight Recorded,7/2 8:26PM,10.8 lbs
Weight Recorded,7/2 3:49PM,8.2 lbs
Weight Recorded,7/2 2:39PM,10.8 lbs
Weight Recorded,7/2 1:17PM,7.8 lbs
Weight Recorded,7/2 12:58PM,11.9 lbs
Weight Recorded,7/2 7:59AM,8.2 lbs
Weight Recorded,7/2 7:04AM,7.9 lbs
Weight Recorded,7/2 6:47AM,12.3 lbs
Weight Recorded,7/2 5:15AM,10.8 lbs
Weight Recorded,7/2 4:52AM,12.0 lbs
Weight Recorded,7/2 12:18AM,10.6 lbs
Weight Recorded,7/2 12:12AM,8.0 lbs
Weight Recorded,7/1 10:13PM,11.8 lbs
Weight Recorded,7/1 10:06PM,8.0 lbs
Weight Recorded,7/1 11:34AM,8.0 lbs
Weight Recorded,7/1 7:35AM,12.1 lbs
Weight Recorded,7/1 5:57AM,8.0 lbs
Weight Recorded,7/1 4:20AM,10.9 lbs
Weight Recorded,6/30 7:38PM,11.6 lbs
Weight Recorded,6/30 7:36PM,12.2 lbs
Weight Recorded,6/30 5:06PM,8.2 lbs
Weight Recorded,6/30 2:37PM,7.8 lbs
Weight Recorded,6/30 2:07PM,11.6 lbs
Weight Recorded,6/30 1:59PM,12.0 lbs
Weight Recorded,6/30 11:36AM,12.2 lbs
Weight Recorded,6/30 6:25AM,7.9 lbs
Weight Recorded,6/30 6:19AM,10.8 lbs
Weight Recorded,6/30 6:02AM,12.3 lbs
Weight Recorded,6/29 5:52PM,8.3 lbs
Weight Recorded,6/29 3:48PM,11.1 lbs
Weight Recorded,6/29 2:36PM,12.0 lbs
Weight Recorded,6/29 2:02PM,8.4 lbs
Weight Recorded,6/29 11:30AM,11.9 lbs
Weight Recorded,6/29 6:51AM,8.6 lbs
Weight Recorded,6/29 6:17AM,10.5 lbs
Weight Recorded,6/29 5:59AM,11.0 lbs
Weight Recorded,6/28 11:51PM,12.1 lbs
Weight Recorded,6/28 11:50PM,12.6 lbs
Weight Recorded,6/28 4:55PM,4.2 lbs
Weight Recorded,6/28 4:44PM,11.8 lbs
Weight Recorded,6/28 4:35PM,12.3 lbs
Weight Recorded,6/28 4:34PM,12.3 lbs
Weight Recorded,6/28 2:02PM,10.3 lbs
Weight Recorded,6/28 11:31AM,12.4 lbs
Weight Recorded,6/28 2:45AM,8.0 lbs
Weight Recorded,6/28 1:32AM,10.9 lbs
Weight Recorded,6/27 11:02PM,12.3 lbs
Weight Recorded,6/27 3:12PM,10.7 lbs
Weight Recorded,6/27 3:05PM,11.7 lbs
Weight Recorded,6/27 2:01PM,12.3 lbs
Weight Recorded,6/27 1:14PM,7.9 lbs
Weight Recorded,6/27 5:43AM,12.2 lbs
Weight Recorded,6/27 4:02AM,10.8 lbs
Weight Recorded,6/26 7:14PM,12.3 lbs
Weight Recorded,6/26 7:06PM,8.1 lbs
Weight Recorded,6/26 5:07PM,10.7 lbs
Weight Recorded,6/26 3:20PM,11.8 lbs
Weight Recorded,6/26 2:34PM,11.7 lbs
Weight Recorded,6/26 2:31PM,10.8 lbs
Weight Recorded,6/26 11:31AM,8.0 lbs
Weight Recorded,6/26 1:27AM,12.1 lbs
Weight Recorded,6/26 1:03AM,10.6 lbs
Weight Recorded,6/25 11:04AM,12.2 lbs
Weight Recorded,6/25 6:55AM,10.6 lbs
Weight Recorded,6/25 5:58AM,7.8 lbs
Weight Recorded,6/25 5:32AM,12.2 lbs
Weight Recorded,6/25 3:41AM,10.6 lbs
Weight Recorded,6/25 1:23AM,12.3 lbs
Weight Recorded,6/24 5:45PM,7.7 lbs
Weight Recorded,6/24 3:01PM,12.3 lbs
Weight Recorded,6/24 1:39PM,10.5 lbs
Weight Recorded,6/24 12:20PM,11.8 lbs
Weight Recorded,6/24 11:39AM,11.7 lbs
Weight Recorded,6/24 10:52AM,7.3 lbs
Weight Recorded,6/24 10:47AM,7.7 lbs
Weight Recorded,6/24 5:17AM,7.6 lbs
Weight Recorded,6/24 1:26AM,10.6 lbs
Weight Recorded,6/24 1:21AM,11.3 lbs
Weight Recorded,6/24 12:49AM,12.0 lbs
Weight Recorded,6/23 3:13PM,10.2 lbs
Weight Recorded,6/23 3:09PM,7.5 lbs
Weight Recorded,6/23 11:48AM,7.4 lbs
Weight Recorded,6/23 11:26AM,11.5 lbs
Weight Recorded,6/23 6:06AM,10.1 lbs
Weight Recorded,6/23 5:59AM,10.3 lbs
Weight Recorded,6/22 11:47PM,12.2 lbs
Weight Recorded,6/22 10:05PM,11.7 lbs
Weight Recorded,6/22 9:22PM,7.5 lbs
Weight Recorded,6/22 3:04PM,10.5 lbs
Weight Recorded,6/22 1:19PM,12.2 lbs
Weight Recorded,6/22 11:02AM,7.7 lbs
Weight Recorded,6/22 5:57AM,7.4 lbs
Weight Recorded,6/22 5:22AM,11.9 lbs
Weight Recorded,6/22 5:17AM,11.9 lbs
Weight Recorded,6/21 11:49PM,12.5 lbs
Weight Recorded,6/21 7:04PM,11.5 lbs
Weight Recorded,6/21 6:57PM,10.2 lbs
Weight Recorded,6/21 6:50PM,12.5 lbs
Weight Recorded,6/21 2:17PM,7.9 lbs
Weight Recorded,6/21 12:51PM,12.1 lbs
Weight Recorded,6/21 6:06AM,12.3 lbs
Weight Recorded,6/21 5:42AM,10.9 lbs
Weight Recorded,6/21 1:44AM,8.0 lbs
Weight Recorded,6/20 11:49PM,11.6 lbs
Weight Recorded,6/20 10:41PM,12.6 lbs
Weight Recorded,6/20 10:12PM,8.0 lbs
Weight Recorded,6/20 3:02PM,8.2 lbs
Weight Recorded,6/20 12:36PM,12.5 lbs
Weight Recorded,6/20 11:56AM,10.6 lbs
Weight Recorded,6/20 11:49AM,10.7 lbs
Weight Recorded,6/20 11:46AM,8.0 lbs
Weight Recorded,6/20 4:14AM,8.0 lbs
Weight Recorded,6/20 2:44AM,12.6 lbs
Weight Recorded,6/20 12:26AM,7.7 lbs
Weight Recorded,6/20 12:15AM,10.7 lbs
Weight Recorded,6/19 5:00PM,7.9 lbs
Weight Recorded,6/19 3:42PM,10.8 lbs
Weight Recorded,6/19 3:18PM,12.3 lbs
Weight Recorded,6/19 3:03PM,8.0 lbs
Weight Recorded,6/19 1:53PM,11.8 lbs
Weight Recorded,6/19 11:24AM,12.4 lbs
Weight Recorded,6/19 10:59AM,10.8 lbs
Weight Recorded,6/18 11:41PM,7.8 lbs
Weight Recorded,6/18 11:35PM,10.7 lbs
Weight Recorded,6/18 11:25PM,12.3 lbs
Weight Recorded,6/18 2:08PM,8.0 lbs
Weight Recorded,6/18 12:47PM,11.9 lbs
Weight Recorded,6/18 11:55AM,12.5 lbs
Weight Recorded,6/18 11:20AM,10.9 lbs
Weight Recorded,6/18 2:33AM,10.8 lbs
Weight Recorded,6/17 11:36PM,12.3 lbs
Weight Recorded,6/17 5:27PM,7.8 lbs
Weight Recorded,6/17 12:47PM,12.3 lbs
Weight Recorded,6/17 11:05AM,12.5 lbs
Weight Recorded,6/17 5:35AM,10.8 lbs
Weight Recorded,6/17 5:05AM,12.0 lbs
Weight Recorded,6/17 12:51AM,10.7 lbs
Weight Recorded,6/16 11:27PM,12.0 lbs
Weight Recorded,6/16 11:21PM,7.9 lbs
Weight Recorded,6/16 2:51PM,8.1 lbs
Weight Recorded,6/16 1:17PM,12.3 lbs
Weight Recorded,6/16 12:04PM,8.1 lbs
Weight Recorded,6/16 5:57AM,10.9 lbs
Weight Recorded,6/16 4:30AM,8.2 lbs
Weight Recorded,6/16 3:45AM,12.4 lbs
Weight Recorded,6/15 8:18PM,7.9 lbs
Weight Recorded,6/15 4:32PM,12.6 lbs
Weight Recorded,6/15 4:17PM,10.8 lbs
Weight Recorded,6/15 2:00PM,12.4 lbs
Weight Recorded,6/15 1:50PM,11.9 lbs
Weight Recorded,6/15 7:54AM,12.5 lbs
Weight Recorded,6/15 6:06AM,10.7 lbs
Weight Recorded,6/15 5:59AM,10.8 lbs
Weight Recorded,6/15 5:53AM,8.0 lbs
Weight Recorded,6/15 3:48AM,7.9 lbs
