Activity,Timestamp,Value
Weight Recorded,2/22 3:06PM,9.5 lbs
Weight Recorded,2/22 2:39PM,11.7 lbs
Weight Recorded,2/22 1:38PM,7.6 lbs
Weight Recorded,2/22 12:19PM,7.5 lbs
Weight Recorded,2/22 10:43AM,9.8 lbs
Weight Recorded,2/22 10:24AM,4.4 lbs
Weight Recorded,2/22 9:22AM,6.7 lbs
Weight Recorded,2/22 9:13AM,11.4 lbs
Weight Recorded,2/22 5:30AM,10.1 lbs
Weight Recorded,2/22 4:55AM,11.5 lbs
Weight Recorded,2/22 12:11AM,6.7 lbs
Weight Recorded,2/21 10:34PM,10.3 lbs
Weight Recorded,2/21 9:40PM,7.4 lbs
Weight Recorded,2/21 7:44PM,9.8 lbs
Weight Recorded,2/21 7:41PM,10.7 lbs
Weight Recorded,2/21 7:31PM,11.8 lbs
Weight Recorded,2/21 2:11PM,7.7 lbs
Weight Recorded,2/21 11:33AM,11.5 lbs
Weight Recorded,2/21 10:46AM,8.2 lbs
Weight Recorded,2/21 8:41AM,10.9 lbs
Weight Recorded,2/21 8:11AM,11.4 lbs
Weight Recorded,2/21 7:05AM,9.6 lbs
Weight Recorded,2/21 6:34AM,7.9 lbs
Weight Recorded,2/21 5:56AM,9.6 lbs
Weight Recorded,2/21 5:34AM,12.2 lbs
Weight Recorded,2/21 4:35AM,11.6 lbs
Weight Recorded,2/21 12:02AM,10.1 lbs
Weight Recorded,2/20 11:57PM,11.7 lbs
Weight Recorded,2/20 11:11PM,7.1 lbs
Weight Recorded,2/20 9:36PM,11.6 lbs
Weight Recorded,2/20 9:24PM,9.5 lbs
Weight Recorded,2/20 8:58PM,6.6 lbs
Weight Recorded,2/20 6:01PM,11.4 lbs
Weight Recorded,2/20 5:22PM,7.9 lbs
Weight Recorded,2/20 4:10PM,7.0 lbs
Weight Recorded,2/20 3:40PM,10.4 lbs
Weight Recorded,2/20 3:21PM,10.6 lbs
Weight Recorded,2/20 8:59AM,11.1 lbs
Weight Recorded,2/20 7:38AM,10.3 lbs
Weight Recorded,2/20 7:05AM,11.3 lbs
Weight Recorded,2/20 6:34AM,7.1 lbs
Weight Recorded,2/20 3:32AM,11.7 lbs
Weight Recorded,2/20 2:53AM,9.9 lbs
Weight Recorded,2/19 8:59PM,7.6 lbs
Weight Recorded,2/19 8:04PM,11.6 lbs
Weight Recorded,2/19 7:11PM,11.1 lbs
Weight Recorded,2/19 7:00PM,11.6 lbs
Weight Recorded,2/19 5:45PM,9.1 lbs
Weight Recorded,2/19 3:59PM,9.6 lbs
Weight Recorded,2/19 3:38PM,6.9 lbs
Weight Recorded,2/19 3:25PM,12.3 lbs
Weight Recorded,2/19 2:26PM,12.0 lbs
Weight Recorded,2/19 12:14PM,10.6 lbs
Weight Recorded,2/19 11:31AM,10.0 lbs
Weight Recorded,2/19 10:57AM,8.2 lbs
Weight Recorded,2/19 10:26AM,12.4 lbs
Weight Recorded,2/19 5:19AM,10.8 lbs
Weight Recorded,2/19 5:09AM,11.1 lbs
Weight Recorded,2/19 5:08AM,9.9 lbs
Weight Recorded,2/19 3:32AM,8.0 lbs
Weight Recorded,2/18 11:21PM,12.1 lbs
Weight Recorded,2/18 8:57PM,11.1 lbs
Weight Recorded,2/18 7:30PM,10.1 lbs
Weight Recorded,2/18 7:16PM,10.5 lbs
Weight Recorded,2/18 7:02PM,7.2 lbs
Weight Recorded,2/18 6:52PM,7.6 lbs
Weight Recorded,2/18 6:38PM,9.7 lbs
Weight Recorded,2/18 4:58PM,11.9 lbs
Weight Recorded,2/18 11:42AM,8.0 lbs
Weight Recorded,2/18 10:32AM,12.3 lbs
Weight Recorded,2/18 8:18AM,11.0 lbs
Weight Recorded,2/18 8:12AM,9.9 lbs
Weight Recorded,2/18 7:41AM,12.6 lbs
Weight Recorded,2/18 7:35AM,8.0 lbs
Weight Recorded,2/18 6:54AM,4.1 lbs
Weight Recorded,2/18 6:37AM,12.0 lbs
Weight Recorded,2/18 6:19AM,7.5 lbs
Weight Recorded,2/18 5:18AM,10.3 lbs
Weight Recorded,2/18 3:39AM,13.1 lbs
Weight Recorded,2/17 11:50PM,10.1 lbs
Weight Recorded,2/17 11:05PM,11.0 lbs
Weight Recorded,2/17 10:49PM,7.7 lbs
Weight Recorded,2/17 5:53PM,10.5 lbs
Weight Recorded,2/17 5:49PM,9.7 lbs
Weight Recorded,2/17 5:26PM,12.2 lbs
Weight Recorded,2/17 3:53PM,7.8 lbs
Weight Recorded,2/17 11:20AM,8.3 lbs
Weight Recorded,2/17 7:48AM,9.3 lbs
Weight Recorded,2/17 7:37AM,7.5 lbs
Weight Recorded,2/17 5:22AM,11.7 lbs
Weight Recorded,2/17 5:15AM,6.8 lbs
Weight Recorded,2/17 5:11AM,11.5 lbs
Weight Recorded,2/17 12:46AM,9.2 lbs
Weight Recorded,2/17 12:37AM,9.3 lbs
Weight Recorded,2/17 12:32AM,11.6 lbs
Weight Recorded,2/16 10:59PM,7.1 lbs
Weight Recorded,2/16 9:16PM,7.3 lbs
Weight Recorded,2/16 8:14PM,11.7 lbs
Weight Recorded,2/16 7:34PM,9.9 lbs
Weight Recorded,2/16 7:18PM,12.5 lbs
Weight Recorded,2/16 12:33PM,7.3 lbs
Weight Recorded,2/16 9:31AM,10.8 lbs
Weight Recorded,2/16 7:42AM,11.0 lbs
Weight Recorded,2/16 7:07AM,9.2 lbs
Weight Recorded,2/16 6:51AM,7.3 lbs
Weight Recorded,2/16 4:56AM,11.1 lbs
Weight Recorded,2/15 11:43PM,10.4 lbs
Weight Recorded,2/15 9:30PM,10.0 lbs
Weight Recorded,2/15 9:24PM,6.7 lbs
Weight Recorded,2/15 9:23PM,10.9 lbs
Weight Recorded,2/15 9:05PM,12.1 lbs
Weight Recorded,2/15 7:53PM,9.9 lbs
Weight Recorded,2/15 7:04PM,9.6 lbs
Weight Recorded,2/15 7:03PM,11.7 lbs
Weight Recorded,2/15 4:19PM,8.2 lbs
Weight Recorded,2/15 1:29PM,12.2 lbs
Weight Recorded,2/15 11:42AM,9.7 lbs
Weight Recorded,2/15 10:22AM,7.5 lbs
Weight Recorded,2/15 8:05AM,7.3 lbs
Weight Recorded,2/15 7:52AM,7.2 lbs
Weight Recorded,2/15 7:32AM,11.2 lbs
Weight Recorded,2/15 5:59AM,12.2 lbs
Weight Recorded,2/15 4:39AM,4.9 lbs
Weight Recorded,2/15 12:50AM,7.8 lbs
Weight Recorded,2/14 11:51PM,11.9 lbs
Weight Recorded,2/14 9:05PM,6.9 lbs
Weight Recorded,2/14 8:53PM,12.2 lbs
Weight Recorded,2/14 8:42PM,12.6 lbs
Weight Recorded,2/14 7:53PM,10.0 lbs
Weight Recorded,2/14 7:07PM,10.8 lbs
Weight Recorded,2/14 6:58PM,10.1 lbs
Weight Recorded,2/14 6:53PM,11.9 lbs
Weight Recorded,2/14 4:46PM,7.9 lbs
Weight Recorded,2/14 3:59PM,12.2 lbs
Weight Recorded,2/14 11:25AM,7.8 lbs
Weight Recorded,2/14 8:06AM,11.2 lbs
