Activity,Timestamp,Value
Weight Recorded,1/24 6:59AM,7.9 lbs
Weight Recorded,1/24 5:59AM,13.1 lbs
Weight Recorded,1/23 11:35PM,10.8 lbs
Weight Recorded,1/23 10:53PM,7.6 lbs
Weight Recorded,1/23 9:45PM,12.7 lbs
Weight Recorded,1/23 9:17PM,12.8 lbs
Weight Recorded,1/23 7:01PM,12.8 lbs
Weight Recorded,1/23 6:38PM,12.7 lbs
Weight Recorded,1/23 6:37PM,12.6 lbs
Weight Recorded,1/23 5:48PM,10.7 lbs
Weight Recorded,1/23 5:41PM,10.4 lbs
Weight Recorded,1/23 5:29PM,10.4 lbs
Weight Recorded,1/23 4:49PM,12.6 lbs
Weight Recorded,1/23 3:57PM,10.5 lbs
Weight Recorded,1/23 3:45PM,11.6 lbs
Weight Recorded,1/23 9:50AM,8.3 lbs
Weight Recorded,1/23 9:17AM,12.5 lbs
Weight Recorded,1/23 7:21AM,10.7 lbs
Weight Recorded,1/23 6:22AM,12.5 lbs
Weight Recorded,1/22 11:31PM,11.5 lbs
Weight Recorded,1/22 10:29PM,8.1 lbs
Weight Recorded,1/22 10:13PM,12.7 lbs
Weight Recorded,1/22 7:21PM,12.4 lbs
Weight Recorded,1/22 6:52PM,11.1 lbs
Weight Recorded,1/22 6:43PM,12.5 lbs
Weight Recorded,1/22 6:21PM,10.2 lbs
Weight Recorded,1/22 6:20PM,10.7 lbs
Weight Recorded,1/22 6:19PM,10.5 lbs
Weight Recorded,1/22 6:07PM,10.5 lbs
Weight Recorded,1/22 4:50PM,10.2 lbs
Weight Recorded,1/22 4:42PM,10.8 lbs
Weight Recorded,1/22 4:38PM,17.3 lbs
Weight Recorded,1/22 11:08AM,12.5 lbs
Weight Recorded,1/22 11:04AM,12.9 lbs
Weight Recorded,1/22 10:41AM,8.0 lbs
Weight Recorded,1/22 7:12AM,12.0 lbs
Weight Recorded,1/22 6:36AM,10.3 lbs
Weight Recorded,1/22 6:17AM,12.6 lbs
Weight Recorded,1/21 11:33PM,11.0 lbs
Weight Recorded,1/21 9:56PM,10.3 lbs
Weight Recorded,1/21 9:17PM,8.3 lbs
Weight Recorded,1/21 8:03PM,12.7 lbs
Weight Recorded,1/21 8:02PM,12.9 lbs
Weight Recorded,1/21 5:47PM,7.7 lbs
Weight Recorded,1/21 5:12PM,10.3 lbs
Weight Recorded,1/21 4:19PM,11.1 lbs
Weight Recorded,1/21 11:50AM,11.9 lbs
Weight Recorded,1/21 6:46AM,11.9 lbs
Weight Recorded,1/21 6:42AM,8.7 lbs
Weight Recorded,1/21 6:22AM,7.5 lbs
Weight Recorded,1/21 5:41AM,12.4 lbs
Weight Recorded,1/21 5:19AM,10.5 lbs
Weight Recorded,1/20 8:50PM,12.1 lbs
Weight Recorded,1/20 8:41PM,12.4 lbs
Weight Recorded,1/20 7:17PM,7.8 lbs
Weight Recorded,1/20 5:29PM,10.6 lbs
Weight Recorded,1/20 4:06PM,12.4 lbs
Weight Recorded,1/20 12:41PM,7.1 lbs
Weight Recorded,1/20 8:42AM,11.5 lbs
Weight Recorded,1/20 7:04AM,8.1 lbs
Weight Recorded,1/20 6:45AM,11.0 lbs
Weight Recorded,1/20 6:22AM,13.0 lbs
Weight Recorded,1/20 6:15AM,12.9 lbs
Weight Recorded,1/19 11:08PM,11.0 lbs
Weight Recorded,1/19 10:36PM,12.3 lbs
Weight Recorded,1/19 10:31PM,8.3 lbs
Weight Recorded,1/19 7:10PM,11.8 lbs
Weight Recorded,1/19 5:44PM,12.4 lbs
Weight Recorded,1/19 4:32PM,9.9 lbs
Weight Recorded,1/19 1:56PM,8.3 lbs
Weight Recorded,1/19 7:32AM,7.8 lbs
Weight Recorded,1/19 7:24AM,10.7 lbs
Weight Recorded,1/19 6:05AM,10.0 lbs
Weight Recorded,1/19 5:51AM,11.7 lbs
Weight Recorded,1/19 5:24AM,12.9 lbs
Weight Recorded,1/18 11:23PM,10.7 lbs
Weight Recorded,1/18 11:15PM,12.5 lbs
Weight Recorded,1/18 11:06PM,12.3 lbs
Weight Recorded,1/18 6:15PM,13.0 lbs
Weight Recorded,1/18 5:28PM,7.6 lbs
Weight Recorded,1/18 1:17PM,10.5 lbs
Weight Recorded,1/18 1:10PM,11.4 lbs
Weight Recorded,1/18 1:08PM,4.7 lbs
Weight Recorded,1/18 11:01AM,12.0 lbs
Weight Recorded,1/18 7:13AM,11.5 lbs
Weight Recorded,1/18 7:07AM,8.4 lbs
Weight Recorded,1/18 6:54AM,12.3 lbs
Weight Recorded,1/18 5:19AM,12.6 lbs
Weight Recorded,1/17 11:41PM,8.1 lbs
Weight Recorded,1/17 11:38PM,10.1 lbs
Weight Recorded,1/17 6:58PM,8.0 lbs
Weight Recorded,1/17 6:04PM,10.3 lbs
Weight Recorded,1/17 5:43PM,10.3 lbs
Weight Recorded,1/17 5:14PM,11.4 lbs
Weight Recorded,1/17 4:17PM,11.9 lbs
Weight Recorded,1/17 6:49AM,8.0 lbs
Weight Recorded,1/17 5:49AM,10.2 lbs
Weight Recorded,1/17 5:09AM,11.9 lbs
Weight Recorded,1/17 4:59AM,12.6 lbs
Weight Recorded,1/16 9:52PM,11.6 lbs
Weight Recorded,1/16 9:05PM,7.8 lbs
Weight Recorded,1/16 8:40PM,12.3 lbs
Weight Recorded,1/16 7:42PM,12.5 lbs
Weight Recorded,1/16 7:31PM,12.7 lbs
Weight Recorded,1/16 4:42PM,10.3 lbs
Weight Recorded,1/16 3:39PM,7.8 lbs
Weight Recorded,1/16 10:33AM,11.7 lbs
Weight Recorded,1/16 9:52AM,12.8 lbs
Weight Recorded,1/16 9:50AM,12.7 lbs
Weight Recorded,1/16 6:30AM,12.7 lbs
Weight Recorded,1/16 6:16AM,10.3 lbs
Weight Recorded,1/16 5:59AM,8.2 lbs
Weight Recorded,1/16 4:55AM,12.6 lbs
Weight Recorded,1/15 7:42PM,12.7 lbs
Weight Recorded,1/15 7:27PM,11.7 lbs
Weight Recorded,1/15 6:25PM,10.0 lbs
Weight Recorded,1/15 6:19PM,8.0 lbs
Weight Recorded,1/15 5:57PM,11.6 lbs
Weight Recorded,1/15 5:40PM,4.4 lbs
Weight Recorded,1/15 5:39PM,24.0 lbs
Weight Recorded,1/15 4:23PM,10.4 lbs
Weight Recorded,1/15 3:33PM,12.0 lbs
Weight Recorded,1/15 10:52AM,10.5 lbs
Weight Recorded,1/15 10:13AM,8.3 lbs
Weight Recorded,1/15 9:36AM,8.7 lbs
Weight Recorded,1/15 6:19AM,8.4 lbs
Weight Recorded,1/15 5:44AM,12.5 lbs
Weight Recorded,1/15 5:32AM,12.7 lbs
Weight Recorded,1/14 10:42PM,10.4 lbs
Weight Recorded,1/14 10:07PM,8.3 lbs
Weight Recorded,1/14 8:11PM,12.0 lbs
Weight Recorded,1/14 5:02PM,10.2 lbs
Weight Recorded,1/14 4:51PM,12.2 lbs
Weight Recorded,1/14 3:22PM,7.5 lbs
Weight Recorded,1/14 6:55AM,8.0 lbs
Weight Recorded,1/14 6:39AM,10.3 lbs
Weight Recorded,1/14 6:04AM,12.4 lbs
Weight Recorded,1/13 11:44PM,12.3 lbs
Weight Recorded,1/13 10:03PM,11.6 lbs
Weight Recorded,1/13 6:29PM,10.1 lbs
Weight Recorded,1/13 5:55PM,12.4 lbs
Weight Recorded,1/13 3:57PM,12.1 lbs
Weight Recorded,1/13 1:00PM,8.3 lbs
Weight Recorded,1/13 7:21AM,11.4 lbs
Weight Recorded,1/13 6:51AM,8.4 lbs
Weight Recorded,1/13 6:12AM,12.5 lbs
Weight Recorded,1/13 6:02AM,10.2 lbs
Weight Recorded,1/13 5:45AM,10.0 lbs
Weight Recorded,1/12 10:41PM,12.5 lbs
Weight Recorded,1/12 8:17PM,12.4 lbs
Weight Recorded,1/12 5:21PM,11.1 lbs
Weight Recorded,1/12 5:08PM,10.0 lbs
Weight Recorded,1/12 4:59PM,11.9 lbs
Weight Recorded,1/12 4:50PM,8.0 lbs
Weight Recorded,1/12 1:16PM,11.5 lbs
Weight Recorded,1/12 9:15AM,11.5 lbs
Weight Recorded,1/12 7:14AM,12.1 lbs
