Activity,Timestamp,Value
Weight Recorded,5/18 3:20PM,11.9 lbs
Weight Recorded,5/18 2:00PM,12.7 lbs
Weight Recorded,5/18 10:48AM,10.3 lbs
Weight Recorded,5/18 6:15AM,7.9 lbs
Weight Recorded,5/18 4:59AM,10.4 lbs
Weight Recorded,5/18 4:54AM,12.7 lbs
Weight Recorded,5/18 12:57AM,8.0 lbs
Weight Recorded,5/18 12:06AM,10.6 lbs
Weight Recorded,5/17 8:55PM,12.5 lbs
Weight Recorded,5/17 8:38PM,10.6 lbs
Weight Recorded,5/17 4:50PM,8.0 lbs
Weight Recorded,5/17 11:36AM,12.5 lbs
Weight Recorded,5/17 11:32AM,7.8 lbs
Weight Recorded,5/17 8:32AM,8.1 lbs
Weight Recorded,5/17 6:25AM,10.4 lbs
Weight Recorded,5/17 5:34AM,12.2 lbs
Weight Recorded,5/17 5:28AM,11.9 lbs
Weight Recorded,5/17 1:27AM,8.3 lbs
Weight Recorded,5/17 12:32AM,13.0 lbs
Weight Recorded,5/16 11:05PM,10.6 lbs
Weight Recorded,5/16 10:17PM,10.2 lbs
Weight Recorded,5/16 9:26PM,8.1 lbs
Weight Recorded,5/16 9:02PM,8.0 lbs
Weight Recorded,5/16 7:43PM,11.9 lbs
Weight Recorded,5/16 5:12PM,8.0 lbs
Weight Recorded,5/16 4:07PM,12.8 lbs
Weight Recorded,5/16 10:51AM,8.1 lbs
Weight Recorded,5/16 7:03AM,10.4 lbs
Weight Recorded,5/16 4:52AM,12.7 lbs
Weight Recorded,5/16 3:24AM,8.1 lbs
Weight Recorded,5/16 2:15AM,8.0 lbs
Weight Recorded,5/15 8:35PM,11.9 lbs
Weight Recorded,5/15 6:34PM,7.8 lbs
Weight Recorded,5/15 6:23PM,10.1 lbs
Weight Recorded,5/15 6:03PM,10.6 lbs
Weight Recorded,5/15 5:44PM,12.4 lbs
Weight Recorded,5/15 8:14AM,8.2 lbs
Weight Recorded,5/15 5:44AM,9.9 lbs
Weight Recorded,5/15 5:31AM,12.7 lbs
Weight Recorded,5/15 12:45AM,10.7 lbs
Weight Recorded,5/14 11:34PM,7.9 lbs
Weight Recorded,5/14 11:15PM,16.0 lbs
Weight Recorded,5/14 4:46AM,12.4 lbs
Weight Recorded,5/14 4:45AM,12.5 lbs
Weight Recorded,5/14 12:33AM,10.5 lbs
Weight Recorded,5/13 11:28PM,8.2 lbs
Weight Recorded,5/13 8:06PM,10.4 lbs
Weight Recorded,5/13 8:00PM,12.5 lbs
Weight Recorded,5/13 3:05PM,8.2 lbs
Weight Recorded,5/13 2:27PM,11.4 lbs
Weight Recorded,5/13 2:06PM,12.7 lbs
Weight Recorded,5/13 10:48AM,8.2 lbs
Weight Recorded,5/13 7:23AM,12.5 lbs
Weight Recorded,5/13 6:58AM,8.2 lbs
Weight Recorded,5/13 5:36AM,10.6 lbs
Weight Recorded,5/13 12:22AM,11.9 lbs
Weight Recorded,5/12 11:59PM,12.6 lbs
Weight Recorded,5/12 6:47PM,10.5 lbs
Weight Recorded,5/12 6:30PM,8.0 lbs
Weight Recorded,5/12 3:34PM,12.2 lbs
Weight Recorded,5/12 3:26PM,12.9 lbs
Weight Recorded,5/12 1:25PM,8.1 lbs
Weight Recorded,5/12 10:19AM,8.3 lbs
Weight Recorded,5/12 6:50AM,7.1 lbs
Weight Recorded,5/12 6:48AM,3.9 lbs
Weight Recorded,5/12 6:14AM,11.7 lbs
Weight Recorded,5/12 5:49AM,10.5 lbs
Weight Recorded,5/12 5:17AM,12.5 lbs
Weight Recorded,5/11 11:40PM,8.1 lbs
Weight Recorded,5/11 11:15PM,10.7 lbs
Weight Recorded,5/11 2:43PM,12.6 lbs
Weight Recorded,5/11 12:40PM,8.0 lbs
Weight Recorded,5/11 12:36PM,8.2 lbs
Weight Recorded,5/11 10:51AM,10.7 lbs
Weight Recorded,5/11 9:06AM,8.2 lbs
Weight Recorded,5/11 7:23AM,12.5 lbs
Weight Recorded,5/11 6:29AM,11.8 lbs
Weight Recorded,5/11 5:44AM,10.8 lbs
Weight Recorded,5/11 2:33AM,12.7 lbs
Weight Recorded,5/11 1:26AM,10.7 lbs
Weight Recorded,5/11 12:14AM,12.6 lbs
Weight Recorded,5/11 12:10AM,12.8 lbs
Weight Recorded,5/10 10:33PM,8.2 lbs
Weight Recorded,5/10 3:57PM,12.8 lbs
Weight Recorded,5/10 1:16PM,8.2 lbs
Weight Recorded,5/10 10:21AM,8.2 lbs
Weight Recorded,5/10 9:13AM,8.1 lbs
Weight Recorded,5/10 8:43AM,10.6 lbs
Weight Recorded,5/10 6:57AM,11.9 lbs
Weight Recorded,5/10 6:15AM,12.5 lbs
Weight Recorded,5/10 5:36AM,10.8 lbs
Weight Recorded,5/9 11:49PM,8.3 lbs
Weight Recorded,5/9 10:00PM,8.4 lbs
Weight Recorded,5/9 7:29PM,10.4 lbs
Weight Recorded,5/9 6:35PM,12.4 lbs
Weight Recorded,5/9 6:16PM,12.6 lbs
Weight Recorded,5/9 8:15AM,10.6 lbs
Weight Recorded,5/9 7:54AM,11.1 lbs
Weight Recorded,5/9 7:51AM,12.1 lbs
Weight Recorded,5/9 7:39AM,10.6 lbs
Weight Recorded,5/9 2:09AM,8.3 lbs
Weight Recorded,5/9 12:32AM,12.8 lbs
Weight Recorded,5/8 10:02PM,8.3 lbs
Weight Recorded,5/8 7:54PM,11.6 lbs
Weight Recorded,5/8 7:36PM,11.7 lbs
Weight Recorded,5/8 6:58PM,10.7 lbs
Weight Recorded,5/8 6:05PM,8.3 lbs
Weight Recorded,5/8 5:08PM,12.8 lbs
Weight Recorded,5/8 8:50AM,8.3 lbs
Weight Recorded,5/8 5:40AM,11.8 lbs
Weight Recorded,5/8 5:11AM,12.7 lbs
Weight Recorded,5/7 10:44PM,10.6 lbs
Weight Recorded,5/7 10:28PM,12.9 lbs
Weight Recorded,5/7 8:38PM,10.7 lbs
Weight Recorded,5/7 8:21PM,8.3 lbs
Weight Recorded,5/7 6:16PM,12.9 lbs
Weight Recorded,5/7 1:24PM,10.8 lbs
Weight Recorded,5/7 8:03AM,11.7 lbs
Weight Recorded,5/7 7:50AM,8.4 lbs
Weight Recorded,5/7 7:12AM,12.7 lbs
Weight Recorded,5/7 12:36AM,12.6 lbs
Weight Recorded,5/6 11:37PM,11.9 lbs
Weight Recorded,5/6 11:16PM,10.8 lbs
Weight Recorded,5/6 10:30PM,8.3 lbs
Weight Recorded,5/6 8:32PM,12.8 lbs
Weight Recorded,5/6 6:52PM,10.8 lbs
Weight Recorded,5/6 6:42PM,12.8 lbs
Weight Recorded,5/6 5:24PM,8.0 lbs
Weight Recorded,5/6 5:05PM,12.7 lbs
Weight Recorded,5/6 12:43PM,8.4 lbs
Weight Recorded,5/6 12:19PM,8.3 lbs
Weight Recorded,5/6 8:59AM,10.8 lbs
Weight Recorded,5/6 7:55AM,12.7 lbs
Weight Recorded,5/6 7:03AM,8.1 lbs
Weight Recorded,5/6 6:43AM,12.7 lbs
Weight Recorded,5/6 5:44AM,13.0 lbs
Weight Recorded,5/5 11:23PM,11.9 lbs
Weight Recorded,5/5 11:20PM,12.8 lbs
Weight Recorded,5/5 10:04PM,10.8 lbs
Weight Recorded,5/5 9:21PM,8.2 lbs
Weight Recorded,5/5 6:37PM,12.6 lbs
Weight Recorded,5/5 10:19AM,8.3 lbs
Weight Recorded,5/5 8:27AM,11.4 lbs
Weight Recorded,5/5 8:21AM,12.5 lbs
Weight Recorded,5/5 7:55AM,8.1 lbs
Weight Recorded,5/5 5:58AM,12.4 lbs
Weight Recorded,5/5 5:44AM,12.5 lbs
Weight Recorded,5/5 5:15AM,10.4 lbs
Weight Recorded,5/5 4:40AM,10.7 lbs
Weight Recorded,5/5 12:05AM,8.9 lbs
Weight Recorded,5/5 12:04AM,11.7 lbs
Weight Recorded,5/4 9:33PM,8.3 lbs
Weight Recorded,5/4 8:20PM,10.5 lbs
Weight Recorded,5/4 6:51PM,11.5 lbs
Weight Recorded,5/4 5:12PM,12.2 lbs
Weight Recorded,5/4 1:39PM,8.2 lbs
Weight Recorded,5/4 9:22AM,12.5 lbs
Weight Recorded,5/4 7:44AM,12.4 lbs
Weight Recorded,5/4 7:01AM,8.0 lbs
Weight Recorded,5/4 6:21AM,10.7 lbs
Weight Recorded,5/4 5:36AM,12.5 lbs
Weight Recorded,5/3 9:59PM,10.6 lbs
Weight Recorded,5/3 9:41PM,11.7 lbs
Weight Recorded,5/3 9:03PM,12.7 lbs
Weight Recorded,5/3 8:58PM,10.7 lbs
Weight Recorded,5/3 8:54PM,8.2 lbs
Weight Recorded,5/3 8:47PM,11.8 lbs
Weight Recorded,5/3 8:02PM,10.5 lbs
